PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,4351338000,2816 W NATIONAL AV,,8,4060,Duplex O/S,Frame,2,1903,0,3552,2,7,4,0,5418,2008-01,189000
Lg Apartment,3190034100,2639 N PROSPECT AV,"25: 1-Br ,5: 2-Br ",3,6972,"Apartment: 25: 1-Br ,5: 2-Br  Units",,3,1968,0,24930,1,0,0,0,13583,2008-01,1800000
Lg Apartment,3881641000,2920 W HIGHLAND BL,"33: 1-Br ,15: 2-Br ",4,6976,"Apartment: 33: 1-Br ,15: 2-Br  Units",,3,1967,0,37563,1,0,0,0,22000,2008-01,1490000
Lg Apartment,5340016100,3325 S 26TH ST,"18: 1-Br ,7: 2-Br ",13,6980,"Apartment: 18: 1-Br ,7: 2-Br  Units",,2,1966,0,20600,1,0,0,0,30000,2008-01,1245000
Commercial,2851832000,2438 W HOPKINS ST,,6,6240,Beer Depot & Liquor Store,,1,1914,0,4752,1,0,0,0,5400,2008-01,260000
Commercial,3271527000,2601 N 35TH ST,,15,6242,Billboard,,0,0,0,0,1,0,0,0,8313,2008-01,125000
Commercial,3630702100,1606 W WALNUT ST,,15,6256,Billboard,,0,0,0,0,1,0,0,0,7803,2008-01,170000
Commercial,5599999000,3505 S 76TH ST,,11,6288,Billboard,,0,0,0,0,1,0,0,0,13620,2008-01,320000
Commercial,2930409000,3645 N 91ST ST,,5,6226,Office Building - 1 Story,,1,1974,0,754,1,0,0,0,6000,2008-01,218900
Commercial,2700317000,2001 W CAPITOL DR,,6,6234,Office Building - Multi Story ( Ofc & Apt),,2,1913,0,4892,1,0,0,0,5070,2008-01,108000
Commercial,2930405100,9137 W LISBON AV,,5,6226,Office Building - Multi Story ( Ofc & Apt),,2,1957,0,4832,1,0,0,0,4800,2008-01,169500
Commercial,3290027000,5020 W NORTH AV,,15,6450,"Post Office, Social Security Building",,1,1951,0,12724,1,0,0,0,32777,2008-01,3071600
Commercial,4611343000,1659 S 11TH ST,,12,6280,Residence With Commercial Usage,,2,1898,0,2941,1,0,0,0,4200,2008-01,50000
Commercial,1549982100,7415 W MILL RD,,2,6214,Salvage Yard,,1,1953,0,960,1,0,0,0,68389,2008-01,325000
Commercial,3610660000,200 W WISCONSIN AV,,4,6460,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1937,0,20450,1,0,0,0,8400,2008-01,1460000
Commercial,3280424000,4819 W CENTER ST,,15,6250,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1928,0,4025,1,0,0,0,3600,2008-01,70000
Commercial,6250151000,801 W LAYTON AV,,13,6451,Store Building - Multiple Tenants,,1,1960,0,107610,1,0,0,0,489092,2008-01,4200000
Commercial,2920439000,7632 W BURLEIGH ST,,5,6226,"Store Building - Single tenant, 1 story",,1,1950,0,2458,1,0,0,0,3653,2008-01,144900
Commercial,3651171100,3308 W VLIET ST,,15,6418,Svs Station w Conv Store,,1,2001,0,2039,1,0,0,0,11077,2008-01,756000
Commercial,3610523000,1023 N OLD WORLD THIRD ST,,4,6460,Tavern,,2,1894,0,10739,1,0,0,0,5824,2008-01,795000
Commercial,4940444000,3427 W LINCOLN AV,,8,6283,Tavern,,2,1912,0,5153,1,0,0,0,7200,2008-01,260000
Commercial,3090698100,2940 W FOND DU LAC AV,,15,6242,Tire Dealer,,1,1973,0,4261,1,0,0,0,20460,2008-01,260000
Vacant Land,2510337100,6918 W CAPITOL DR,,2,6230,Commercial Land,,0,0,0,0,1,0,0,0,3480,2008-01,35000
Vacant Land,5950841000,4600 S 6TH ST,,13,6475,Commercial Land,,0,0,0,0,1,0,0,0,104681,2008-01,420000
Vacant Land,50101000,9370 N BURBANK AV,,9,40,**,,0,0,0,0,0,0,0,0,11129,2008-01,39900
Lg Apartment,3160013100,1824 E PARK PL,,3,6972,Apartment:  Units,,4,2008,0,93626,1,0,0,0,25200,2008-02,1000000
Lg Apartment,3200515000,1709 E PARK PL,"7: 1-Br ,10: 2-Br ",3,6972,"Apartment: 7: 1-Br ,10: 2-Br  Units",,3,1923,0,14445,1,0,0,0,10428,2008-02,1220000
Commercial,5729984210,6720 W FOREST HOME AV,,11,6288,Auto & Auto Body Repair,,1,1965,0,5568,1,0,0,0,40832,2008-02,550000
Commercial,3530851100,1849 N MARTIN L KING JR DR,,6,6266,Office Building - Multi Story ( Ofc & Apt),,2,1999,0,17832,1,0,0,0,15082,2008-02,1625000
Commercial,2500088000,6222 W CAPITOL DR,,2,6230,Office Building - Multi Story ( Ofc & Apt),,2,1960,0,8586,1,0,0,0,4800,2008-02,375000
Commercial,4700518000,2013 W BURNHAM ST,,8,6278,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1898,0,3012,1,0,0,0,3391,2008-02,122500
Commercial,4961916000,1701 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,1,1890,0,2784,1,0,0,0,6000,2008-02,75000
Commercial,4611347000,1108 W HISTORIC MITCHELL ST,,12,6280,"Store Building - Single tenant, 1 story",,1,1890,0,3600,1,0,0,0,3600,2008-02,60000
