PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
868088,Commercial,0030171000,9400-9408 N 107TH ST,,9,6202,Office Building - 1 Story,Concrete Block,1,1973,NULL,"12,960",6,NULL,0,0,"178,160",3/31/2021,"$450,000"
875720,Residential,0040012000,9231 W COUNTY LINE RD,,9,0040,Ranch,Aluminum/Vinyl,1,1952,4,840,1,2,1,0,"19,405",9/30/2021,"$180,000"
878211,Residential,0040067000,9481 N MICHAEL CT,,9,0040,Colonial,Fiber Cement/Hardiplank,2,2006,8,"2,000",1,3,2,1,"10,607",10/15/2021,"$339,900"
875302,Residential,0040074000,9579 N MICHAEL CT,,9,0040,Ranch,Fiber Cement/Hardiplank,1,2006,8,"2,115",1,3,2,1,"10,607",8/17/2021,"$379,900"
865369,Residential,0050008000,9239 N BURBANK AV,,9,0040,Ranch,Aluminum/Vinyl,1,1987,5,"1,288",1,3,2,0,"7,670",2/4/2021,"$195,000"
870943,Residential,0050043000,9328 N JOYCE AV,,9,0040,Ranch,Aluminum/Vinyl,1,1980,6,"1,505",1,3,2,0,"8,878",5/26/2021,"$213,000"
872068,Residential,0050065000,9267 N BURBANK AV,,9,0040,Ranch,Aluminum/Vinyl,1,1986,5,"1,196",1,3,1,1,"10,090",6/25/2021,"$170,000"
870347,Residential,0050110000,8112 W GLENBROOK RD,,9,0040,Ranch,Prem Wood,1,1990,5,"1,246",1,3,1,1,"7,200",5/13/2021,"$235,000"
874897,Residential,0050122000,7926 W GLENBROOK RD,,9,0040,Colonial,Aluminum/Vinyl,2,2006,8,"2,279",1,4,2,1,"15,938",7/26/2021,"$370,000"
868845,Residential,0050153000,8740 W FAIRY CHASM DR,,9,0040,Ranch,Aluminum/Vinyl,1,1951,5,"1,160",1,3,2,0,"8,400",4/23/2021,"$133,000"
873059,Residential,0050154000,8750 W FAIRY CHASM DR,,9,0040,Ranch,Aluminum/Vinyl,1,1956,5,"1,215",1,4,2,1,"9,125",6/30/2021,"$134,000"
879566,Condominium,0070029000,"9226 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,11/16/2021,"$88,500"
867379,Condominium,0070047000,"9258 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,"1,253",1,3,1,1,0,3/29/2021,"$98,000"
871552,Condominium,0070064000,"9298 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,"1,253",1,3,1,1,0,6/18/2021,"$87,000"
865617,Condominium,0070072000,"9282 N 70TH ST, Unit 9",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,3/1/2021,"$85,000"
872522,Condominium,0070076000,"6995 W GLENBROOK RD, Unit 4",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,"1,244",1,3,2,1,0,4/28/2021,"$110,000"
