
Field Name|Description|Type
PropertyID|A unique identifier for each property.|text
PropType|The type of property (e.g., Commercial or Residential).|text
taxkey|The tax key associated with the property.|text
Address|The address of the property.|text
CondoProject|Information about whether the property is part of a condominium project (NaN indicates missing data).|text
District|The district number for the property.|text
nbhd|The neighborhood number for the property.|text
Style|The architectural style of the property.|text
Extwall|The type of exterior wall material used.|text
Stories|The number of stories in the building.|text
Year_Built|The year the property was built.|text
Rooms|The number of rooms in the property.|text
FinishedSqft|The total square footage of finished space in the property.|text|
Units|The number of units in the property (e.g., apartments in a multifamily building).|text
Bdrms|The number of bedrooms in the property.|text
Fbath|The number of full bathrooms in the property.|text
Hbath|The number of half bathrooms in the property.|text
Lotsize|The size of the lot associated with the property.|text
Sale_date|The date when the property was sold.|text
Sale_price|The sale price of the property.|text
